c3_evi_time,c3_mean_evi
738173,0.177342436863678
738189,0.197483128365353
738205,0.248193880105402
738221,0.273855562161448
738237,0.294205579767565
738253,0.366373196694215
738269,0.342559725263787
738285,0.328148530484973
738301,0.3040003879282
738317,0.300956756400106
738333,0.296236043360433
738349,0.313204911449075
738365,0.289121580547113
738381,0.29154127258236
738397,0.292002172334104
738413,0.243603117729177
738429,0.228925447839831
738445,0.228216645807259
738461,0.222470143433142
738477,0.21672343256059
738493,0.201704782293657
738509,0.217616163621923
738522,0.260433890246319
738538,0.295934105542648
738554,0.312411192745566
738570,0.341580513263746
738586,0.404926008583691
738602,0.36794021746337
738618,0.317550853287472
738634,0.308419116291321
738650,0.285715929320234
738666,0.275197742574257
738682,0.269621404925848
738698,0.262484147232742
738714,0.247218382838284
738730,0.221908920435787
738746,0.216138544616398
738762,0.204623730494578
738778,0.190159980112695
738794,0.195355073806845
738810,0.190556065157887
738826,0.188762840916595
738842,0.212723313367998
738858,0.242602686114045
738874,0.302867452456419
738887,0.408305422521274
738903,0.364107097541634
738919,0.347626492438312
738935,0.350281390741597
738951,0.345284019226971
738967,0.375572778952935
738983,0.384418818799025
738999,0.323809105325757
739015,0.302979509933775
739031,0.283906399893998
739047,0.276743514011314
739063,0.263167961292871
739079,0.240989771677445
739095,0.23290869852601
739111,0.223218686634418
739127,0.202854461273894
